distance,full,20%,40%,nobtw
176,26.10,20.88,15.66,23.94
177,26.20,20.96,15.72,24.04
178,26.30,21.04,15.78,24.13
179,26.30,21.04,15.78,24.13
180,26.40,21.12,15.84,24.22
181,26.50,21.20,15.90,24.31
182,26.60,21.28,15.96,24.40
183,26.60,21.28,15.96,24.40
184,26.70,21.36,16.02,24.50
185,26.80,21.44,16.08,24.59
186,26.90,21.52,16.14,24.68
187,26.90,21.52,16.14,24.68
188,27.00,21.60,16.20,24.77
189,27.10,21.68,16.26,24.86
190,27.20,21.76,16.32,24.95
191,27.20,21.76,16.32,24.95
192,27.30,21.84,16.38,25.05
193,27.40,21.92,16.44,25.14
194,27.50,22.00,16.50,25.23
195,27.50,22.00,16.50,25.23
196,27.60,22.08,16.56,25.32
197,27.70,22.16,16.62,25.41
198,27.80,22.24,16.68,25.50
199,27.80,22.24,16.68,25.50
200,27.90,22.32,16.74,25.60
